,v714,b0,v113
0,0,0,1
1,0,0,1
2,0,0,0
3,0,0,0
4,0,0,1
5,1,0,1
6,1,0,1
7,1,0,1
8,0,0,1
9,0,0,1
10,0,0,1
11,0,0,1
12,1,0,1
13,0,0,0
14,0,0,0
15,0,0,1
16,0,0,1
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,0
26,1,0,1
27,1,0,1
28,1,0,1
29,1,0,1
30,1,0,1
31,1,0,0
32,1,0,1
33,1,0,1
34,1,0,0
35,1,0,1
36,1,0,1
37,1,0,1
38,0,0,1
39,1,0,1
40,1,0,1
41,1,0,1
42,1,0,1
43,1,0,1
44,0,0,1
45,1,0,1
46,1,0,1
47,1,0,1
48,1,0,1
49,0,0,1
50,0,0,1
51,0,0,0
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,1,0,1
57,1,0,1
58,0,0,1
59,1,0,1
60,1,0,1
61,0,0,1
62,0,0,1
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,1
70,1,0,0
71,1,0,1
72,1,0,1
73,1,0,1
74,0,0,1
75,1,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,1,0,1
84,1,0,1
85,0,0,1
86,1,0,1
87,0,0,1
88,0,0,1
89,1,0,1
90,1,0,1
91,1,0,1
92,1,0,1
93,0,0,1
94,1,0,0
95,1,0,1
96,1,0,1
97,1,0,0
98,0,0,1
99,0,0,1
100,0,0,1
101,0,1,0
102,0,1,0
103,1,0,1
104,0,0,1
105,1,0,1
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,1,1,1
111,1,1,1
112,1,0,1
113,0,0,1
114,1,0,1
115,0,0,1
116,1,0,0
117,1,0,1
118,0,0,1
119,0,0,1
120,1,0,1
121,0,0,1
122,0,0,1
123,1,0,1
124,1,0,1
125,1,0,1
126,0,0,1
127,0,0,1
128,1,0,1
129,0,0,1
130,0,0,1
131,1,0,1
132,0,0,1
133,0,0,1
134,1,0,1
135,0,0,1
136,0,0,1
137,1,0,1
138,0,0,1
139,0,0,0
140,0,0,0
141,0,0,1
142,1,0,1
143,0,0,1
144,0,0,1
145,1,0,1
146,0,0,0
147,0,0,0
148,0,0,1
149,1,0,1
150,1,0,1
151,0,0,0
152,0,0,1
153,0,0,1
154,0,0,1
155,1,0,1
156,0,0,1
157,1,0,1
158,0,0,1
159,0,0,1
160,0,0,1
161,0,0,1
162,1,0,1
163,0,0,1
164,0,0,1
165,1,1,1
166,1,1,1
167,0,0,0
168,0,0,1
169,1,0,1
170,1,0,1
171,1,0,1
172,0,0,1
173,0,0,1
174,1,0,1
175,0,0,1
176,0,0,0
177,0,0,1
178,0,0,1
179,0,0,1
180,0,0,1
181,1,0,1
182,1,0,1
183,1,0,1
184,1,0,1
185,1,0,1
186,0,0,1
187,0,0,1
188,1,0,1
189,1,0,1
190,0,0,1
191,1,0,1
192,0,0,1
193,0,0,1
194,1,0,1
195,1,0,1
196,1,0,1
197,0,0,1
